market,origin,model,seed,credit_mode,locked_rankic,locked_net_sharpe,locked_annualized_net_return,sgg,certified_count,prompt_tokens,completion_tokens,parse_fallbacks,prompt_variant,candidate_count,unique_candidates,mean_redundancy,feature_coverage,prompt_calls,semantic_compliant_calls
sp500,4,gpt-5.4,2026083005,evidence,0.005650581375509687,-1.5894464862894304,-0.10425915654877624,0.3364079084260623,0,8055,3415,0,baseline,250,250,0.7707690835510518,26,6,0
csi1000,4,gpt-5.4,2026083001,evidence,0.02908386601985729,-0.6689092344381625,-0.0634670698279013,-0.39989501490722335,0,4776,2646,0,semantic_measurement,250,250,0.7664811376383869,26,4,4
csi1000,4,gpt-5.4,2026083002,evidence,0.01174285923913906,-1.0961505173781165,-0.09801910469663522,-2.547899752600342,0,4489,2457,0,semantic_measurement,250,250,0.7496325791009986,26,4,4
csi1000,4,gpt-5.4,2026083003,evidence,0.05043406880868623,-0.21948303220911847,-0.020137045729191966,6.214551156514879,0,5035,2768,0,semantic_measurement,250,250,0.7414661303171358,26,4,4
csi1000,4,gpt-5.4,2026083004,evidence,0.053046024031257175,0.5203672658992443,0.05062652339965773,5.300026653782458,0,4643,2619,0,semantic_measurement,250,250,0.7388709889253091,26,4,4
csi1000,4,gpt-5.4,2026083005,evidence,0.05122930256335688,0.5443629399209499,0.052818125668551985,6.029324411163326,0,4900,2732,0,semantic_measurement,250,250,0.7305382520447505,26,4,4
csi500,4,gpt-5.4,2026083001,evidence,-0.03786654544183803,-1.7183378835939687,-0.14852330009874856,-11.946189912395045,0,9955,3964,0,semantic_measurement,250,250,0.7631759565408737,26,6,6
csi500,4,gpt-5.4,2026083002,evidence,0.035367736416289486,-1.8434449107979922,-0.15514026101791073,-0.04034954713476324,0,10246,3931,0,semantic_measurement,250,250,0.7699536463700705,26,6,6
csi500,4,gpt-5.4,2026083003,evidence,0.028246460152102967,-1.9788668967578804,-0.16467948105851316,11.299117340376881,0,10444,4045,0,semantic_measurement,250,250,0.7574799924511223,26,6,6
csi500,4,gpt-5.4,2026083004,evidence,0.003062694722927125,-0.758677724636736,-0.054676420790661096,5.547829313432884,0,9561,3645,0,semantic_measurement,250,250,0.7497455714936632,26,6,6
csi500,4,gpt-5.4,2026083005,evidence,-0.04243670043733504,-1.9292558871140033,-0.16256466049405413,-10.342303109653052,0,9987,3900,0,semantic_measurement,250,250,0.7641089194890346,26,6,6
sp500,4,gpt-5.4,2026083001,evidence,-0.01011811027283367,-1.972768644919532,-0.15777238663612275,1.6964016140253215,0,10423,3983,0,semantic_measurement,250,250,0.7676257537380641,26,6,6
sp500,4,gpt-5.4,2026083002,evidence,-0.008570761200338412,-1.6263012082216521,-0.1229822741013537,1.9849768479439458,0,11641,4648,0,semantic_measurement,250,250,0.7773162557123455,26,6,6
sp500,4,gpt-5.4,2026083003,evidence,-0.006597972497359767,-3.5238936056091936,-0.24834748098388262,3.1178944166770313,0,10993,4427,0,semantic_measurement,250,250,0.7612201746753035,26,6,6
sp500,4,gpt-5.4,2026083004,evidence,0.00442441698618828,-0.4658985641937143,-0.02926150224689302,-0.5844414644805732,0,11404,4554,0,semantic_measurement,250,250,0.7717975368581581,26,6,6
sp500,4,gpt-5.4,2026083005,evidence,-0.010856034120549817,-2.077347850486624,-0.17165826101188175,2.440141887966211,0,10840,4286,0,semantic_measurement,250,250,0.7538592055349875,26,6,6
